dataset,model,threshold,precision,recall,dice,tp,fp,fn
CRACKS reserve,U-Net,0.2575,0.25696238106071756,0.32938492284731574,0.28870102581258716,76804,222088,156370
CRACKS reserve,U-Net,0.2475,0.25668752162821823,0.3594697522022181,0.2995059985885674,83819,242722,149355
CRACKS reserve,U-Net,0.2375,0.2554957881422835,0.38723871443642943,0.3078654098922399,90294,263113,142880
CRACKS reserve,U-Net,0.2275,0.25353477885243486,0.4128076029059844,0.3141360573078994,96256,283400,136918
CRACKS reserve,U-Net,0.2175,0.25148276143165216,0.4366052818924923,0.31914143258625094,101805,303014,131369
CRACKS reserve,U-Net,0.2075,0.24922439089298346,0.4578597956890562,0.32276164807640273,106761,321612,126413
CRACKS reserve,U-Net,0.1975,0.24691122475013588,0.47730021357441227,0.32545959389927753,111294,339451,121880
CRACKS reserve,U-Net,0.1875,0.24469255272477572,0.4951452563321811,0.32752680454631206,115455,356382,117719
CRACKS reserve,U-Net,0.1775,0.24228124606082294,0.5110646984655236,0.3287238561821061,119167,372687,114007
CRACKS reserve,U-Net,0.1675,0.23973405035443657,0.5257618773962792,0.32931076396583703,122594,388781,110580
CRACKS reserve,U-Net,0.1575,0.23742834994086925,0.5398543576899655,0.3298072325458011,125880,404301,107294
CRACKS reserve,U-Net,0.1475,0.23519369449799035,0.5536080352011802,0.3301339593978732,129087,419767,104087
CRACKS reserve,U-Net,0.1375,0.23295435507564574,0.5665168500776244,0.3301496454122278,132097,434954,101077
CRACKS reserve,U-Net,0.1275,0.23078013481871887,0.5795157264532066,0.3301034199298645,135128,450399,98046
CRACKS reserve,U-Net,0.1175,0.22869232552747507,0.5922143978316622,0.32996413355412346,138089,465731,95085
CRACKS reserve,U-Net,0.1075,0.22668937920838222,0.604964532923911,0.3297983269506829,141062,481208,92112
CRACKS reserve,U-Net,0.0975,0.2246569916935777,0.6178862137288034,0.32950822484090636,144075,497236,89099
CRACKS reserve,U-Net,0.0875,0.22286901720938462,0.6319872713081218,0.32952996646850397,147363,513846,85811
CRACKS reserve,U-Net,0.0775,0.22082742795437674,0.6454922075360031,0.32907573167052195,150512,531070,82662
CRACKS reserve,U-Net,0.0675,0.218720659614542,0.6593831216173329,0.32848215525621444,153751,549205,79423
CRACKS reserve,U-Net,0.0575,0.21653523781183356,0.6740717232624563,0.32777709422527895,157176,568692,75998
CRACKS reserve,U-Net,0.0475,0.21409756864081989,0.6895022601147641,0.3267392329328369,160774,590164,72400
CRACKS reserve,U-Net,0.0375,0.2114725125678484,0.7061121737414978,0.325470374045711,164647,613927,68527
CRACKS reserve,U-Net,0.0275,0.20847850548377914,0.7254582414848997,0.3238815700668315,169158,642235,64016
CRACKS reserve,U-Net,0.0175,0.20439686305676652,0.7500150102498563,0.3212464547605402,174884,680726,58290
CRACKS reserve,U-Net,0.0075,0.1970196577138966,0.7866743290418314,0.31511894781688493,183432,747602,49742
