model,inline_local_index,valid_voxels,truth_voxels,predicted_voxels,tp,fp,fn,precision,recall,dice,iou,tolerant_precision_3px,tolerant_recall_3px,tolerant_dice_3px
dip_steered_coherence,124,6217,1063,127,90,37,973,0.7086614173228346,0.08466603951081844,0.15126050420168066,0.08181818181818182,0.889763779527559,0.2436500470366886,0.3825451598567432
dip_steered_coherence,125,4425,760,110,71,39,689,0.6454545454545455,0.09342105263157895,0.1632183908045977,0.08886107634543179,0.8909090909090909,0.2657894736842105,0.4094312306101344
dip_steered_coherence,126,2564,476,120,91,29,385,0.7583333333333333,0.19117647058823528,0.3053691275167785,0.1801980198019802,0.9416666666666667,0.35084033613445376,0.5112152570840333
dip_steered_coherence,127,6160,1061,240,141,99,920,0.5875,0.13289349670122527,0.2167563412759416,0.12155172413793103,0.875,0.2761545711592837,0.41981373452051995
dip_steered_coherence,128,14001,2278,2240,481,1759,1797,0.21473214285714284,0.21115013169446883,0.2129260734838424,0.11914788209066138,0.6629464285714286,0.49648814749780507,0.5677682053050317
dip_steered_coherence,129,4304,691,127,69,58,622,0.5433070866141733,0.09985528219971057,0.1687041564792176,0.09212283044058744,0.9921259842519685,0.2170767004341534,0.35621395454031435
dip_steered_coherence,130,2548,445,114,66,48,379,0.5789473684210527,0.14831460674157304,0.23613595706618962,0.13387423935091278,0.8947368421052632,0.30337078651685395,0.45310957551826264
dip_steered_coherence,131,6293,1025,207,110,97,915,0.5314009661835749,0.1073170731707317,0.17857142857142858,0.09803921568627451,0.7729468599033816,0.22829268292682928,0.35247931161091706
dip_steered_coherence,132,5986,1018,147,102,45,916,0.6938775510204082,0.10019646365422397,0.17510729613733905,0.09595484477892756,0.891156462585034,0.24656188605108054,0.38625591025226863
dip_steered_coherence,133,4360,702,93,59,34,643,0.6344086021505376,0.08404558404558404,0.14842767295597484,0.08016304347826086,0.8494623655913979,0.1908831908831909,0.3117196702002356
dip_steered_coherence,134,2793,487,85,53,32,434,0.6235294117647059,0.10882956878850103,0.1853146853146853,0.10211946050096339,0.8823529411764706,0.25667351129363447,0.39766702014846234
dip_steered_coherence,135,6612,1097,191,42,149,1055,0.2198952879581152,0.03828623518687329,0.06521739130434782,0.033707865168539325,0.3507853403141361,0.13947128532360983,0.19958723545102314
dip_steered_coherence,136,12854,2085,2290,462,1828,1623,0.2017467248908297,0.22158273381294963,0.2112,0.11806797853309481,0.6637554585152838,0.543884892086331,0.5978709898960468
dip_steered_coherence,137,4602,749,47,39,8,710,0.8297872340425532,0.0520694259012016,0.09798994974874371,0.05151915455746367,0.9361702127659575,0.1348464619492657,0.23573720924064395
dip_steered_coherence,138,2569,455,69,34,35,421,0.4927536231884058,0.07472527472527472,0.1297709923664122,0.06938775510204082,0.9130434782608695,0.23076923076923078,0.368421052631579
dip_steered_coherence,139,6527,1122,188,38,150,1084,0.20212765957446807,0.0338680926916221,0.05801526717557252,0.029874213836477988,0.5159574468085106,0.11764705882352941,0.19160493827160494
dip_steered_coherence,140,5684,1022,171,80,91,942,0.4678362573099415,0.07827788649706457,0.13411567476948869,0.07187780772686433,0.8654970760233918,0.18199608610567514,0.3007505653822202
dip_steered_coherence,141,5242,877,176,73,103,804,0.4147727272727273,0.08323831242873432,0.13865147198480532,0.07448979591836735,0.7613636363636364,0.1733181299885975,0.28235946489221597
dip_steered_coherence,142,3468,604,179,74,105,530,0.4134078212290503,0.12251655629139073,0.18901660280970625,0.10437235543018336,0.7206703910614525,0.271523178807947,0.3944365724513386
dip_steered_coherence,143,7155,1273,274,136,138,1137,0.49635036496350365,0.10683424980361352,0.17582417582417584,0.0963855421686747,0.7335766423357665,0.25058915946582877,0.3735678558839894
dip_steered_coherence,144,12667,2175,2641,510,2131,1665,0.19310867095797046,0.23448275862068965,0.21179401993355482,0.1184393869019972,0.6266565694812571,0.5383908045977012,0.5791801125961488
dip_steered_coherence,145,5444,882,285,45,240,837,0.15789473684210525,0.05102040816326531,0.07712082262210797,0.040106951871657755,0.32280701754385965,0.1564625850340136,0.21076746849942726
dip_steered_coherence,146,3403,571,298,49,249,522,0.1644295302013423,0.08581436077057793,0.11277330264672036,0.05975609756097561,0.3187919463087248,0.2714535901926445,0.29322447354010056
dip_steered_coherence,147,7061,1186,498,141,357,1045,0.28313253012048195,0.11888701517706576,0.167458432304038,0.09138042773817238,0.6124497991967871,0.33220910623946037,0.43076162038348065
dip_steered_coherence,148,4648,895,448,99,349,796,0.22098214285714285,0.1106145251396648,0.14743112434847358,0.07958199356913183,0.49776785714285715,0.24692737430167597,0.33010150941247784
dip_steered_coherence,149,4842,818,388,73,315,745,0.18814432989690721,0.08924205378973105,0.12106135986733002,0.06443071491615181,0.4793814432989691,0.21515892420537897,0.2970113774519589
dip_steered_coherence,150,3329,570,471,92,379,478,0.19532908704883228,0.16140350877192983,0.17675312199807877,0.09694415173867228,0.5116772823779193,0.312280701754386,0.3878521572456693
